FGA富光真空办公杯,FZ1014-450B,件(20只),,40,真空事业部
FGA富光真空杯,FZ1015-240,件(30只),,34.6,真空事业部
FGA富光真空杯,FZ1015-380,件(30只),,37.8,真空事业部
FGA富光真空杯,FZ8018-280,件(30只),,63,真空事业部
小健牌单层玻璃杯,700-300,件(40只),510×325×195,4.8,玻璃事业部
中健牌单层玻璃杯,700-400,件(40只),515×365×215,5.5,玻璃事业部
中健牌悠品玻璃杯,701-280,件(40只),590×375×215,11.9,玻璃事业部
大健牌悠品玻璃杯,701-320,件(40只),615×385×220,12.9,玻璃事业部
中健牌悠品玻璃办公杯,701B-320,件(20只),550×345×180,15.9,玻璃事业部
中健牌悠品水晶玻璃杯,702-280,件(18只),,26.8,玻璃事业部
大健牌悠品水晶玻璃杯,702-320,件(18只),,28.8,玻璃事业部
中健牌悠品水晶办公杯,702B-320,件(18只),,32.8,玻璃事业部
特号健悠品水晶口杯,702-500,件(15只),,36.8,玻璃事业部
中健悠品水晶休闲玻璃口杯,702A-220,件(30只),,18.8,玻璃事业部
小号精品力德尔玻璃杯,LDR--8020,件(20只),528×335×205,32,玻璃事业部
中号力浮雕玻璃杯,LDR--8050,件(20只),475×440×245,43,玻璃事业部
力德尔纳米玻璃杯套装,,件(10只),475×440×245,40,玻璃事业部
小力德尔加长玻璃杯,,件(20只),475×440×245,10,玻璃事业部
力德尔中号双层玻璃杯,L1001-280,件(30只),475×440×245,8.5,玻璃事业部
280ml力德尔水晶玻璃杯,LG111-280,件(30只),475×440×245,16.9,玻璃事业部
力德尔纳米双层小号加长,LDR-8053,只,475×440×245,30,玻璃事业部
中号精品力德尔玻璃杯,LDR--8015,件(20只),466×451×226,36,玻璃事业部
大号精品力德尔玻璃杯,LDR--8024,件(20只),466×451×226,38,玻璃事业部
特号精品力德尔玻璃杯,LDR--8030,件(12只),570×335×270,46,玻璃事业部
小号普通力德尔玻璃杯,LDR--8027,件(30只),368×305×174,18,玻璃事业部
中号普通力德尔玻璃杯,LDR--8013,件(30只),415×345×190,20,玻璃事业部
中号力德尔玻璃办公杯,LDR--B8032,件(16只),590×380×200,43,玻璃事业部
大号力德尔玻璃办公杯,LDR--B8033,件(16只),650×430×215,48,玻璃事业部
力德尔玻璃套装,LDR--B8042,件(10只),640×480×250,96,玻璃事业部
新1.2L力德尔旅行壶,LDR--8054,件(12只),480×360×290,64,真空事业部
新1.5L力德尔旅行壶,LDR--8055,件(12只),480×360×315,68,真空事业部
新1.8L力德尔旅行壶,LDR--8056,件(12只),480×360×345,72,真空事业部
力德尔塑料电热水壶,LDR113-1500,件(6只),480×360×345,58,真空事业部
300力德尔真空运动壶,LDR--8057,件(30只),465×385×185,26,真空事业部
500力德尔真空运动壶,LDR--8058,件(30只),465×385×235,28,真空事业部
600力德尔真空运动壶,LDR--8059,件(30只),465×385×275,30,真空事业部
750力德尔真空运动壶,LDR--8070,件(30只),495×415×300,35,真空事业部
350力德尔真空动感壶,LDR--8073C,件(30只),495×415×300,35,真空事业部
500力德尔真空动感壶,LDR--8072B,件(30只),495×415×300,38,真空事业部
750力德尔真空动感壶,LDR--8071A,件(30只),495×415×300,33,真空事业部
直槽杯650ML太空杯,,件(48只),,5.6,塑胶事业部
280健牌生态杯,BJ-280,件(20只),,22.8,真空事业部
400健牌生态办公杯,BJ-400B,件(16只),,28.8,真空事业部
380健牌生态杯,BJ-380,件(20只),,38,真空事业部
380休闲滤叶口杯二型,FGA200-380-2,件(40只),,7.8,塑胶事业部
380休闲滤叶口杯三型,FGA200-380-3,件(40只),,7.8,塑胶事业部
680休闲滤叶口杯,FGA200-680,件(40只),,9.8,塑胶事业部
380休闲滤叶口杯,FGA200-380,件(40只),,7.8,塑胶事业部
6001安全帽,,件(50只),,6.6,安全帽事业部
8003安全帽内衬,,只,,2.75,安全帽事业部
8004安全帽内衬,,只,,3.6,安全帽事业部
8005安全帽内衬,,只,,3.6,安全帽事业部
8008安全帽内衬,,只,,3.7,安全帽事业部
8003安全帽,,件(30只),,10.8,安全帽事业部
8004安全帽,,件(30只),,13.6,安全帽事业部
